lon,lat
-73.9717533,40.79953541
-73.97918209,40.7910321
-73.94196037,40.79448554
-73.95168229,40.77763851
-73.96741755,40.80544134
-73.98297057,40.78411126
-73.98293684,40.78431506
-73.98183065,40.78383757
-73.9700429,40.76394264
-73.97543466,40.78920212
-73.98616126,40.75494608
-73.98282338,40.7642914
-73.9720034,40.79634596
-74.00212098,40.72277196
-73.97547295,40.78914914
-74.00981382,40.72336479
-73.97189763,40.79651072
-73.97295439,40.79838856
-73.97270839,40.79850148
-73.96277507,40.80488623
-73.94327747,40.80009472
-74.010295,40.72294486
-73.98959449,40.71734798
-73.94642641,40.77296172
-73.98562936,40.75207232
-74.00553242,40.72134902
-74.00792216,40.72675001
-73.96177655,40.81022634
-73.99732088,40.76140363
-73.98859766,40.74754218
-73.98854507,40.77981442
-73.98602866,40.75165966
-73.95511115,40.78616908
-73.97945766,40.76599586
-73.94361918,40.78848766
-74.00003603,40.76231528
-73.96016949,40.77532281
-73.96690269,40.76751503
-73.95322526,40.82195756
-73.98108048,40.71490249
-73.98098701,40.71515121
-73.96584849,40.7679012
-73.96076721,40.77602336
-73.97139177,40.76006401
-73.96813375,40.76477071
-73.96351112,40.77079506
-73.97996376,40.71457781
-73.97345255,40.7603519
-73.97296774,40.75523135
-73.98020555,40.78971256
-73.95463536,40.78315133
-73.98122064,40.71465378
-73.96812254,40.7645432
-73.95831297,40.7642846
-73.9989143,40.7262154
-73.96872906,40.80195232
-73.98259613,40.76894108
-73.98239831,40.7688576
-73.94396484,40.81057019
-73.95950199,40.77443187
-73.98354336,40.76805873
-73.98326022,40.76793919
-73.98280802,40.76746104
-73.98310743,40.76758715
-73.98383898,40.76818353
-73.98257252,40.76473351
-73.981967,40.76683588
-73.98157043,40.76675954
-73.94313567,40.77929077
-73.92590671,40.86622048
-73.99433683,40.72807884
-73.99639812,40.72133648
-73.98456369,40.77677465
-73.9849836,40.7761925
-73.99180233,40.77365372
-73.99211279,40.77347394
-74.0085978,40.70542363
-74.00886758,40.70577459
-73.95950036,40.77966496
-73.94372744,40.79316831
-73.94487464,40.79392835
-73.96234667,40.79720998
-73.96544235,40.75674708
-73.97541554,40.78350653
-73.97483925,40.78517234
-73.9759756,40.7860732
-73.98909976,40.76365314
-73.97982629,40.73967658
-73.95018501,40.80179314
-73.98707618,40.72821478
-74.00280088,40.73125953
-74.00470772,40.72331888
-73.9986049,40.71399514
-74.00486826,40.71735445
-73.95545429,40.77650725
-73.94266881,40.81890639
-73.93766847,40.8252987
-73.92958587,40.85106148
-73.94759551,40.78121955
-73.98252922,40.78279395
-73.96788164,40.75605559
-74.0009802,40.73445919
-73.93568984,40.85354185
-74.00389052,40.73604676
-74.00129586,40.72606623
-74.00639231,40.73985318
-73.96012028,40.80841763
-73.98780348,40.76638872
-73.95386506,40.77362435
-73.94974798,40.7766709
-73.97294985,40.78331182
-73.96459374,40.79240562
-74.00867403,40.74563125
-73.98135332,40.76426526
-73.94468118,40.81251302
-73.93869378,40.79946871
-73.95394315,40.79975862
-73.95672798,40.80540995
-73.97643317,40.79174353
-73.96984428,40.7853323
-73.96564964,40.79747854
-74.00868152,40.72584807
-73.96083279,40.77062363
-73.96892476,40.75401266
-73.9796461,40.74331647
-73.96597776,40.76140613
-73.96603531,40.76149704
-73.96635263,40.76156086
-73.97844876,40.74430412
-73.96887826,40.75407648
-73.94389602,40.79232369
-73.99463163,40.77260683
-74.00780774,40.72576097
-73.94179624,40.84522063
-73.98881575,40.7674143
-73.98836704,40.76886475
-73.974483,40.76300462
-73.94552891,40.80936745
-73.94171221,40.81183704
-73.98244057,40.78054597
-73.92103099,40.86645796
-73.983268,40.73009205
-74.0012129,40.74627901
-73.99932633,40.73520098
-73.93873845,40.79940739
-73.96814349,40.74902552
-73.98696557,40.71138744
-73.96120492,40.79878102
-73.97963849,40.78697563
-73.97654743,40.79014279
-73.96893329,40.76723827
-73.96205554,40.79565776
-73.95097474,40.80850335
-73.96205707,40.76959926
-73.95189292,40.77633071
-73.95125527,40.80368469
-73.94851777,40.80557999
-73.94872043,40.8067374
-73.93644236,40.84884245
-73.95181269,40.77014253
-73.94822938,40.78148683
-73.94481167,40.81175715
-73.94551962,40.82942679
-73.9306478,40.85598995
-73.94922214,40.81434686
-73.93751134,40.83874732
-73.94079993,40.81506843
-73.94559474,40.82456766
-73.93812992,40.85171486
-73.95203548,40.76889587
-73.93852304,40.79203351
-73.97123673,40.78507951
-73.95211684,40.77558694
-73.96800283,40.76718914
-73.98901829,40.76607777
-73.96400004,40.77219825
-73.97975413,40.74820549
-73.96350911,40.76206197
-73.98173862,40.78275639
-73.98898015,40.73112459
-74.0033996,40.74273165
-73.99915643,40.73756878
-74.00347576,40.73747504
-74.00338275,40.73361299
-73.98405648,40.72323714
-73.982394,40.72491768
-74.00311162,40.73122952
-73.98281341,40.7198989
-74.00225998,40.72635657
-74.00240895,40.71762465
-73.94674972,40.82832939
-73.96584373,40.75362322
-73.98188957,40.74804745
-73.908859,40.87471406
-73.96938032,40.74977794
-73.96922147,40.74999003
-73.96919922,40.75002025
-73.96798988,40.75001782
-73.93287384,40.86189208
-73.99353975,40.7610065
-73.99255091,40.7610172
-73.96889007,40.76756986
-73.9458143,40.79265069
-73.96012626,40.81127431
-73.96507117,40.75990613
-73.94178619,40.78875054
-73.95351831,40.77783452
-73.94334645,40.82666348
-73.94614723,40.77452569
-73.96943862,40.74969541
-73.99535235,40.76056677
-73.97031519,40.75613382
-73.93494252,40.79632655
-73.94408793,40.80147594
-73.9440191,40.82298825
-73.92968066,40.85755533
-73.92786621,40.86502438
-73.93403707,40.79758292
-73.94883821,40.82732884
-73.99380747,40.71172763
-73.97734753,40.75233086
-73.95696992,40.77441157
-73.92466345,40.86629135
-73.95487635,40.80262029
-73.95794124,40.77308284
-73.98280457,40.75866382
-73.96879243,40.76115654
-73.97991967,40.74293721
-73.93683769,40.80261607
-73.98297565,40.75946184
-73.95572066,40.77521022
-73.93149108,40.79818167
-73.9311099,40.79884862
-73.97323289,40.79367297
-73.96520848,40.77328456
-73.94506437,40.81080933
-73.94858857,40.82221677
-73.95155884,40.80523446
-73.95248907,40.80726564
-73.97580199,40.7881847
-73.96843072,40.74840438
-73.95304035,40.79939077
-73.99597382,40.71675205
-73.9940627,40.73433948
-73.98706115,40.72667861
-73.98628908,40.72788021
-73.9507055,40.78797772
-73.9471237,40.78991783
-73.95668245,40.80315878
-73.96266574,40.77388734
-73.95295198,40.78349304
-73.95164649,40.77538868
-73.95082807,40.77882374
-73.97975601,40.73642492
-74.00849596,40.72583108
-74.00816616,40.74799072
-73.93237712,40.80353627
-73.95757035,40.80170401
-73.9401865,40.79900891
-73.95295758,40.77573491
-73.97283394,40.78409951
-73.94281026,40.81099693
-73.95027632,40.7739816
-73.93881406,40.81062572
-73.93859285,40.80250749
-73.94503093,40.7760391
-74.00016751,40.72727191
-73.99962488,40.72960185
-73.99414321,40.71953175
-73.99845488,40.70963102
-73.96932225,40.74985362
-73.95624052,40.77541669
-73.97858744,40.74462293
-73.93710047,40.80264838
-73.95464157,40.77892383
-73.98708859,40.73429494
-73.96426019,40.79596763
-73.94504932,40.78042394
-73.9746502,40.72412727
-73.99832573,40.70970226
-73.99907745,40.71015477
-73.99860464,40.71075727
-73.99857757,40.71092358
-73.9764091,40.72183739
-73.99628069,40.76855714
-74.01064351,40.73291091
-73.98570797,40.72631101
-73.98439913,40.72061429
-74.00226539,40.72435602
-73.99520973,40.72253994
-74.00097149,40.70819663
-73.99031182,40.7187024
-73.92331291,40.86859888
-73.98508252,40.76524024
-73.96514961,40.75358097
-73.97581195,40.78558813
-73.95017011,40.8278547
-73.97751769,40.78855353
-74.01234427,40.72132482
-73.94503324,40.76859612
-73.95974493,40.8089342
-73.98506211,40.78598843
-73.9605176,40.80642379
-73.9735318,40.7513719
-73.939992,40.79305226
-73.95406542,40.77558338
-73.94623342,40.80296871
-73.95131999,40.80289174
-73.97188667,40.78477898
-73.97070938,40.75100108
-73.97574028,40.74528269
-73.94531514,40.82246228
-73.95736048,40.76329057
-73.98554898,40.72679081
-73.98688946,40.71374702
-74.0004825,40.7340325
-74.00501885,40.73821786
-74.00742235,40.71603182
-73.90869674,40.87478748
-73.93565363,40.82786057
-73.9357589,40.82781163
-73.98781485,40.73504245
-73.96613162,40.7696554
-73.95360055,40.77455238
-73.95064262,40.80426952
-73.97211067,40.78321134
-73.90810565,40.87526304
-73.96853015,40.7509316
-73.9757247,40.78815244
-73.94777109,40.8069056
-73.94778422,40.77354894
-73.97554816,40.78807876
-73.95526283,40.80842082
-73.9754589,40.78804151
-73.98667781,40.72602893
-73.9893149,40.71282253
-74.00164712,40.7450556
-74.00837772,40.72601492
-73.9753759,40.78800687
-73.99567795,40.72317072
-74.00663443,40.73497392
-73.98990866,40.71854838
-73.9544127,40.81051633
-73.96290764,40.79827153
-74.00833223,40.72379117
-73.94195655,40.79859588
-74.00003812,40.73114762
-74.00802115,40.71934371
-74.00825896,40.74748253
-73.9797663,40.74161018
-74.00201558,40.74661076
-74.00011767,40.74523388
-73.99679762,40.74960524
-74.00455538,40.7264368
-73.94088757,40.79304186
-73.9472122,40.82368606
-73.94699976,40.77219637
-73.98072506,40.71878491
-73.98118037,40.71836737
-73.95496023,40.76753037
-73.95200058,40.77126826
-73.90805571,40.87540196
-73.99591959,40.71494834
-73.98500383,40.71781232
-73.94636361,40.81403927
-73.96234412,40.75939589
-73.99372673,40.76478244
-73.97590947,40.74504517
-73.97729419,40.77915882
-73.97783829,40.78217211
-73.95373456,40.81936858
